u,prs,repos,is_bot
mergify[bot],4988,4,True
kibanamachine,3113,1,True
github-automation-metabase,1449,1,True
runway-github[bot],1306,2,True
backport-action,1160,1,True
roomote-v0[bot],1075,1,True
robobun,987,1,True
CBL-Mariner-Bot,721,1,True
octo-sts[bot],703,2,True
jamilbk,636,1,False
azurelinux-security,625,1,True
pauldambra,593,1,False
huhuanming,585,1,False
mscolnick,543,1,False
camc314,504,7,False
bpasero,488,2,False
aubin-tchoi,485,1,False
nkdengineer,481,1,False
overlookmotel,477,2,False
andyzhangx,458,6,False
ydbot,431,1,True
bdraco,410,3,False
daledah,389,1,False
anikdhabal,379,1,False
AbdulTheActivePiecer,376,1,False
k8s-infra-cherrypick-robot,375,4,True
rolfbjarne,369,4,False
blathers-crl[bot],366,1,True
JulesBelveze,354,1,False
ccurme,346,2,False
Yonom,344,1,False
sapphi-red,341,5,False
bodinsamuel,327,1,False
almeidabbm,322,1,False
justin-tahara,321,1,False
Dunqing,319,1,False
adamleithp,314,1,False
fontanierh,309,1,False
Gilbert09,307,1,False
yfge,306,1,False
Boshen,302,1,False
theepicsaxguy,301,1,False
vaadin-bot,300,1,True
LiShuMing,299,1,False
ezailWang,299,1,False
danny-avila,298,2,False
daniel-lxs,295,2,False
sandy081,290,2,False
RogerHYang,290,2,False
schiller-manuel,289,2,False
bernhardoj,287,1,False
connor4312,283,6,False
Dhruwang,279,1,False
hassiebp,270,3,False
notgiorgi,267,1,False
FitseTLT,266,1,False
co63oc,264,9,False
huacnlee,263,2,False
Fraggle,259,1,False
renovate-sh-app[bot],259,1,True
malwilley,258,1,False
sidmorizon,252,1,False
lucaseduoli,250,1,False
yuzefovich,244,1,False
salimtb,244,3,False
Weves,242,1,False
tdraier,242,1,False
backportbot[bot],238,1,True
leosvelperez,237,2,False
Zylphrex,234,3,False
nshestakov,233,1,False
roblourens,232,2,False
Cristhianzl,231,1,False
rephus,229,1,False
Myriad-Dreamin,226,1,False
OGPoyraz,226,3,False
benjackwhite,226,1,False
asottile-sentry,226,2,False
yuneng-jiang,226,1,False
gfyrag,225,1,False
escapade-mckv,225,1,False
Sameerlite,225,1,False
kdy1,225,4,False
joshenlim,225,1,False
pepone,224,2,False
aonnikov,223,1,False
TylerBarnes,223,1,False
smitbarmase,219,1,False
opencode-agent[bot],219,2,True
BykhovDenis,219,1,False
weatherstar,218,1,False
deleonio,216,1,False
narsaynorath,215,1,False
oliverb123,215,1,False
amritk,215,1,False
pgaudet,212,1,False
jpuri,211,3,False
Sysix,210,1,False
mdrxy,206,2,False
JonnyBurger,205,1,False
Ark2307,204,1,False
wenxi-onyx,203,1,False
Light2Dark,203,1,False
ryan953,202,3,False
seer-by-sentry[bot],201,12,True
seaona,200,1,False
dylan-conway,200,1,False
mattsse,198,2,False
nektro,197,1,False
AdityaHegde,197,1,False
antlio,196,4,False
pengx17,196,1,False
alexr00,195,3,False
MananTank,194,1,False
nyomanjyotisa,193,2,False
TkDodo,193,3,False
hariombalhara,192,1,False
Coly010,191,1,False
axiomofjoy,189,3,False
justschen,188,2,False
Ashish8689,187,1,False
cole-miller,186,1,False
ilyam8,186,1,False
TBonnin,186,1,False
markstory,185,2,False
GrigoriyPA,185,1,False
tomasfarias,185,1,False
tlgimenes,185,2,False
freddyaboulton,185,1,False
ericallam,184,1,False
vexxhost-bot,184,1,True
splincode,184,1,False
Kanishk-Bansal,183,1,False
PopDaph,183,1,False
whitphx,181,5,False
baywet,180,8,False
DarkLight1337,180,1,False
Prithpal-Sooriya,180,3,False
lszomoru,178,2,False
Veykril,178,1,False
hi-ogawa,178,4,False
mariusandra,177,1,False
dmadisetti,176,1,False
ghost,176,53,False
gemini-cli-robot,176,1,True
Youssef1313,176,9,False
IrakliJani,175,1,False
hannesrudolph,175,2,False
hazemadelkhalel,174,1,False
benibenj,174,4,False
